n,T,t,p_j
250,165,18,"[43, 8, 40, 19, 43, 13, 25, 11, 13, 39, 33, 46, 24, 16, 34, 21, 31, 46, 5, 10, 48, 5, 38, 40, 9, 19, 32, 39, 29, 47, 48, 7, 1, 17, 7, 19, 25, 43, 3, 40, 7, 26, 40, 22, 19, 29, 41, 39, 18, 22, 21, 50, 49, 5, 30, 12, 29, 15, 27, 37, 38, 40, 11, 25, 10, 2, 49, 41, 11, 36, 49, 36, 11, 18, 7, 14, 11, 4, 18, 33, 46, 26, 5, 7, 6, 13, 20, 18, 8, 39, 24, 48, 25, 44, 2, 18, 25, 42, 46, 17, 34, 37, 46, 18, 42, 35, 1, 11, 6, 12, 1, 38, 2, 14, 3, 33, 9, 9, 25, 48, 5, 13, 31, 31, 36, 15, 22, 4, 4, 36, 39, 25, 46, 38, 42, 44, 5, 16, 2, 13, 43, 25, 49, 41, 26, 11, 26, 38, 21, 11, 7, 32, 7, 11, 3, 18, 25, 23, 12, 45, 10, 17, 25, 34, 39, 29, 35, 32, 19, 36, 37, 9, 43, 24, 10, 43, 36, 11, 43, 23, 13, 50, 4, 39, 37, 4, 35, 20, 17, 5, 5, 38, 34, 9, 27, 19, 16, 48, 41, 29, 21, 17, 37, 36, 15, 25, 30, 15, 18, 27, 40, 14, 46, 13, 5, 5, 36, 35, 47, 43, 35, 26, 45, 17, 3, 29, 28, 43, 21, 12, 27, 33, 2, 2, 8, 16, 12, 36, 36, 45, 15, 30, 7, 8, 15, 30, 46, 39, 3, 25]"
250,198,17,"[43, 26, 31, 19, 41, 27, 37, 23, 16, 28, 48, 29, 23, 29, 35, 43, 11, 20, 34, 48, 48, 6, 2, 24, 10, 48, 16, 37, 13, 35, 13, 37, 44, 25, 23, 22, 19, 37, 33, 13, 1, 28, 9, 22, 39, 46, 46, 16, 45, 46, 34, 38, 38, 13, 29, 42, 48, 34, 31, 24, 10, 24, 19, 33, 8, 19, 38, 34, 25, 11, 6, 40, 18, 11, 23, 15, 13, 25, 1, 10, 31, 10, 11, 41, 6, 35, 40, 39, 40, 46, 30, 46, 49, 40, 13, 17, 21, 25, 44, 36, 25, 45, 29, 32, 50, 43, 7, 10, 34, 37, 47, 30, 2, 6, 4, 8, 12, 19, 46, 12, 27, 8, 38, 42, 1, 7, 50, 46, 4, 24, 10, 16, 6, 25, 17, 30, 35, 19, 4, 14, 36, 47, 48, 35, 26, 12, 1, 38, 17, 45, 1, 34, 6, 27, 38, 39, 43, 22, 13, 1, 27, 5, 20, 6, 37, 21, 45, 12, 7, 50, 1, 10, 13, 34, 29, 10, 23, 8, 45, 13, 12, 4, 2, 49, 50, 26, 32, 40, 43, 4, 5, 32, 32, 30, 4, 36, 21, 12, 18, 31, 16, 34, 32, 12, 27, 7, 29, 11, 12, 41, 35, 9, 8, 50, 3, 49, 9, 1, 3, 27, 46, 35, 8, 3, 36, 37, 17, 20, 6, 5, 13, 42, 19, 11, 18, 5, 19, 23, 47, 14, 20, 33, 9, 18, 45, 45, 43, 36, 8, 29]"
250,178,19,"[7, 44, 41, 7, 41, 47, 44, 18, 25, 23, 18, 17, 13, 31, 11, 29, 47, 40, 13, 31, 16, 37, 11, 5, 16, 28, 45, 10, 49, 33, 45, 18, 24, 42, 27, 17, 22, 13, 1, 16, 32, 29, 4, 39, 12, 29, 6, 50, 16, 39, 22, 10, 26, 41, 48, 46, 10, 17, 5, 36, 24, 47, 45, 32, 36, 32, 1, 5, 22, 29, 35, 18, 39, 36, 28, 27, 46, 19, 24, 15, 46, 21, 2, 36, 25, 17, 23, 18, 21, 16, 21, 10, 5, 28, 31, 35, 50, 30, 21, 33, 21, 26, 34, 22, 40, 11, 10, 14, 46, 25, 48, 45, 49, 9, 7, 6, 8, 39, 25, 38, 18, 13, 23, 32, 30, 45, 7, 43, 6, 24, 29, 43, 38, 11, 12, 24, 14, 20, 15, 46, 10, 2, 11, 32, 36, 42, 5, 33, 13, 8, 42, 13, 45, 8, 14, 1, 20, 27, 37, 38, 9, 44, 46, 19, 16, 15, 40, 45, 41, 10, 41, 16, 34, 14, 34, 26, 34, 15, 29, 33, 45, 35, 2, 47, 20, 50, 3, 15, 40, 38, 27, 7, 43, 49, 33, 1, 45, 18, 37, 22, 15, 41, 38, 1, 48, 32, 5, 13, 29, 9, 38, 27, 7, 46, 17, 39, 37, 25, 11, 34, 13, 28, 42, 9, 12, 21, 45, 14, 26, 30, 15, 21, 29, 16, 22, 14, 7, 8, 18, 33, 5, 8, 22, 35, 37, 18, 23, 2, 13, 12]"
250,164,8,"[9, 10, 16, 32, 44, 14, 35, 17, 14, 20, 23, 12, 24, 45, 46, 46, 27, 2, 42, 17, 20, 33, 45, 10, 32, 34, 42, 28, 8, 38, 5, 40, 35, 22, 10, 31, 38, 20, 28, 41, 15, 25, 39, 36, 38, 33, 31, 32, 32, 49, 20, 7, 11, 23, 42, 10, 6, 10, 20, 24, 14, 20, 42, 6, 6, 5, 38, 50, 44, 6, 40, 25, 27, 6, 16, 17, 6, 46, 3, 48, 5, 8, 43, 24, 12, 31, 49, 1, 32, 21, 4, 36, 27, 20, 50, 49, 24, 43, 46, 12, 12, 38, 12, 10, 18, 42, 12, 7, 43, 19, 47, 32, 45, 9, 7, 50, 29, 33, 21, 27, 18, 41, 16, 47, 28, 40, 37, 9, 47, 23, 42, 43, 24, 6, 3, 32, 16, 39, 7, 17, 45, 28, 43, 44, 41, 34, 19, 43, 19, 44, 13, 26, 3, 47, 33, 27, 46, 2, 35, 13, 1, 36, 8, 44, 32, 29, 38, 44, 41, 19, 24, 25, 13, 7, 20, 29, 9, 3, 5, 5, 32, 5, 22, 41, 40, 34, 33, 10, 20, 11, 6, 46, 38, 4, 1, 21, 31, 36, 29, 8, 32, 1, 4, 27, 17, 34, 18, 16, 42, 36, 16, 13, 36, 9, 36, 30, 10, 29, 42, 23, 12, 16, 39, 49, 2, 47, 39, 4, 7, 27, 28, 47, 39, 49, 43, 25, 14, 6, 13, 2, 30, 44, 32, 50, 22, 35, 9, 42, 31, 23]"
250,175,5,"[44, 46, 4, 22, 19, 24, 50, 42, 31, 2, 17, 16, 23, 16, 19, 32, 30, 40, 25, 50, 1, 9, 29, 24, 40, 2, 29, 33, 18, 11, 13, 18, 32, 38, 15, 5, 17, 39, 44, 33, 39, 37, 31, 4, 21, 42, 13, 44, 50, 46, 18, 46, 16, 19, 42, 41, 24, 1, 16, 41, 35, 23, 14, 11, 28, 28, 46, 47, 34, 43, 8, 15, 32, 19, 5, 27, 28, 8, 29, 15, 2, 3, 16, 20, 40, 47, 31, 3, 32, 15, 4, 1, 31, 17, 23, 31, 45, 20, 13, 45, 23, 19, 50, 39, 47, 9, 45, 50, 30, 39, 21, 44, 1, 4, 33, 33, 43, 2, 47, 27, 38, 36, 50, 23, 43, 26, 10, 35, 3, 21, 24, 26, 21, 3, 21, 44, 23, 25, 4, 39, 38, 37, 41, 7, 6, 8, 4, 20, 47, 11, 28, 13, 1, 25, 31, 39, 35, 9, 48, 22, 5, 5, 7, 50, 30, 14, 14, 27, 7, 15, 31, 5, 43, 16, 26, 4, 7, 8, 5, 48, 29, 4, 5, 44, 25, 27, 1, 39, 11, 29, 14, 11, 22, 26, 36, 40, 14, 1, 12, 8, 1, 45, 7, 9, 26, 20, 16, 25, 11, 13, 21, 5, 21, 32, 23, 12, 48, 12, 38, 9, 36, 28, 5, 8, 2, 32, 46, 46, 27, 49, 5, 45, 32, 15, 16, 44, 12, 11, 12, 15, 44, 49, 30, 29, 35, 5, 41, 13, 41, 36]"
250,183,6,"[35, 49, 48, 28, 42, 50, 41, 32, 15, 42, 10, 50, 44, 50, 21, 36, 42, 38, 46, 19, 18, 12, 15, 26, 9, 18, 4, 48, 2, 38, 19, 4, 5, 10, 36, 5, 35, 1, 47, 7, 17, 17, 30, 30, 26, 6, 17, 16, 33, 6, 48, 40, 30, 21, 30, 3, 8, 38, 11, 37, 29, 27, 40, 40, 2, 15, 24, 41, 36, 34, 22, 36, 50, 41, 40, 42, 9, 48, 21, 31, 18, 46, 40, 45, 42, 47, 25, 30, 47, 39, 6, 24, 17, 7, 24, 45, 14, 44, 37, 14, 2, 20, 10, 22, 49, 23, 49, 43, 48, 2, 4, 2, 34, 19, 40, 48, 4, 11, 26, 23, 48, 5, 21, 7, 33, 41, 23, 12, 33, 47, 49, 47, 38, 34, 27, 32, 17, 38, 28, 21, 8, 36, 31, 8, 32, 11, 33, 33, 14, 31, 7, 1, 24, 20, 24, 24, 15, 34, 27, 47, 31, 5, 29, 2, 30, 4, 42, 27, 46, 31, 47, 31, 38, 46, 19, 25, 2, 16, 49, 30, 25, 20, 8, 29, 18, 39, 50, 7, 20, 30, 25, 32, 35, 4, 14, 21, 8, 11, 41, 3, 11, 40, 17, 15, 37, 25, 41, 48, 35, 41, 43, 27, 24, 1, 36, 29, 46, 25, 40, 23, 10, 45, 21, 36, 31, 34, 45, 7, 8, 25, 9, 42, 47, 17, 42, 22, 9, 50, 4, 6, 26, 21, 47, 20, 12, 38, 6, 38, 8, 34]"
300,200,6,"[34, 32, 36, 50, 1, 17, 16, 24, 20, 18, 21, 34, 8, 11, 50, 9, 19, 16, 35, 1, 16, 36, 24, 14, 36, 4, 49, 5, 12, 5, 37, 44, 36, 34, 1, 15, 26, 34, 36, 10, 29, 11, 39, 38, 35, 42, 45, 5, 2, 15, 18, 50, 44, 12, 14, 12, 17, 39, 1, 30, 26, 24, 27, 28, 32, 26, 13, 16, 16, 50, 49, 38, 44, 35, 4, 28, 37, 38, 40, 16, 49, 38, 38, 48, 46, 20, 32, 48, 30, 10, 34, 7, 42, 20, 15, 4, 19, 14, 33, 8, 39, 50, 48, 49, 7, 29, 44, 14, 26, 4, 5, 5, 28, 50, 39, 42, 20, 49, 31, 26, 34, 34, 50, 40, 42, 6, 18, 29, 23, 24, 30, 16, 39, 14, 16, 14, 7, 4, 23, 19, 50, 1, 28, 35, 16, 48, 50, 31, 13, 12, 12, 7, 11, 38, 38, 33, 25, 36, 18, 7, 40, 2, 27, 18, 35, 22, 28, 39, 22, 37, 3, 21, 44, 1, 28, 36, 50, 46, 35, 21, 36, 4, 47, 39, 40, 17, 13, 42, 15, 13, 5, 2, 4, 6, 16, 18, 14, 1, 38, 23, 20, 8, 50, 50, 10, 21, 25, 28, 5, 48, 2, 43, 34, 20, 37, 18, 19, 29, 30, 25, 39, 11, 29, 11, 33, 23, 27, 39, 36, 8, 39, 22, 21, 36, 41, 9, 33, 23, 15, 5, 21, 28, 32, 2, 50, 47, 38, 5, 32, 22, 42, 3, 27, 38, 20, 40, 44, 20, 45, 25, 7, 5, 15, 46, 15, 41, 29, 38, 48, 22, 32, 21, 7, 23, 38, 10, 21, 32, 7, 29, 35, 49, 37, 26, 40, 31, 14, 32, 31, 21, 24, 24, 22, 28, 24, 38, 8, 3, 40, 47]"
300,155,17,"[47, 7, 23, 29, 28, 2, 50, 21, 4, 36, 1, 37, 40, 27, 19, 1, 31, 11, 10, 23, 47, 50, 2, 43, 48, 36, 48, 7, 9, 6, 34, 15, 37, 13, 3, 49, 10, 5, 23, 16, 2, 35, 34, 23, 23, 45, 46, 36, 6, 50, 43, 23, 40, 22, 30, 23, 48, 31, 37, 50, 45, 45, 4, 7, 21, 4, 10, 46, 23, 33, 15, 44, 1, 6, 46, 33, 32, 31, 42, 17, 17, 16, 22, 30, 43, 8, 5, 39, 35, 2, 11, 29, 2, 29, 37, 47, 18, 3, 48, 47, 19, 33, 38, 1, 43, 41, 36, 26, 49, 40, 39, 17, 49, 11, 5, 22, 17, 9, 26, 45, 50, 19, 2, 36, 46, 46, 25, 31, 27, 48, 24, 11, 29, 33, 42, 22, 10, 45, 34, 8, 1, 12, 16, 23, 47, 46, 31, 37, 22, 37, 29, 26, 24, 32, 17, 34, 26, 16, 29, 44, 9, 43, 49, 40, 44, 7, 11, 18, 37, 32, 24, 45, 26, 30, 25, 5, 11, 21, 28, 48, 18, 46, 8, 2, 6, 15, 33, 26, 4, 15, 11, 13, 14, 36, 8, 46, 30, 17, 24, 42, 40, 47, 29, 46, 1, 40, 39, 8, 6, 2, 34, 21, 32, 26, 6, 32, 34, 2, 5, 24, 39, 44, 16, 6, 27, 25, 6, 19, 7, 27, 41, 16, 17, 48, 28, 43, 12, 37, 42, 3, 6, 19, 39, 6, 4, 8, 43, 15, 2, 3, 41, 45, 17, 18, 39, 26, 42, 15, 16, 50, 34, 18, 24, 47, 20, 14, 10, 3, 35, 40, 11, 11, 47, 40, 32, 10, 5, 34, 43, 8, 30, 18, 48, 15, 49, 9, 28, 14, 48, 37, 21, 37, 41, 5, 8, 19, 8, 20, 40, 4]"
300,188,5,"[36, 29, 37, 17, 49, 40, 44, 19, 50, 11, 45, 22, 42, 40, 36, 38, 28, 46, 13, 29, 34, 47, 46, 31, 47, 24, 20, 24, 7, 21, 15, 28, 23, 29, 5, 43, 31, 26, 14, 41, 22, 5, 25, 22, 39, 6, 15, 11, 19, 24, 22, 19, 35, 33, 29, 32, 29, 14, 29, 47, 11, 26, 40, 10, 9, 15, 30, 3, 35, 41, 10, 41, 35, 40, 24, 38, 8, 3, 38, 38, 2, 8, 50, 45, 14, 42, 37, 31, 42, 35, 2, 16, 20, 25, 10, 8, 39, 25, 23, 11, 41, 14, 21, 21, 32, 11, 46, 2, 5, 30, 26, 20, 3, 44, 26, 27, 7, 5, 16, 43, 5, 29, 44, 17, 11, 40, 42, 4, 22, 8, 26, 27, 15, 18, 41, 49, 35, 44, 7, 49, 6, 30, 9, 30, 18, 25, 48, 17, 40, 38, 18, 18, 11, 38, 27, 15, 5, 41, 37, 16, 28, 33, 9, 5, 12, 48, 49, 24, 26, 43, 13, 34, 44, 19, 50, 20, 44, 43, 34, 21, 33, 17, 12, 12, 6, 7, 11, 20, 16, 18, 18, 39, 49, 36, 13, 46, 1, 21, 32, 17, 38, 47, 30, 38, 35, 22, 22, 21, 22, 14, 8, 4, 38, 41, 25, 15, 22, 34, 4, 18, 18, 40, 25, 47, 48, 35, 36, 24, 40, 29, 35, 9, 25, 2, 42, 38, 37, 28, 28, 39, 35, 35, 35, 33, 22, 8, 37, 41, 33, 21, 42, 42, 27, 20, 9, 33, 24, 6, 11, 3, 15, 17, 1, 38, 18, 2, 31, 6, 14, 17, 5, 4, 46, 39, 19, 44, 46, 16, 44, 35, 45, 42, 23, 45, 13, 49, 37, 1, 24, 17, 50, 46, 27, 42, 34, 9, 15, 36, 32, 23]"
300,177,10,"[10, 20, 24, 46, 45, 3, 2, 10, 21, 20, 22, 14, 10, 15, 48, 6, 45, 29, 34, 44, 41, 28, 33, 48, 33, 6, 44, 28, 10, 37, 16, 2, 12, 37, 20, 45, 40, 7, 12, 21, 22, 25, 32, 19, 45, 22, 19, 11, 14, 11, 30, 19, 31, 21, 32, 22, 15, 49, 20, 1, 11, 24, 34, 37, 16, 25, 36, 9, 33, 26, 2, 25, 48, 18, 23, 7, 23, 50, 23, 31, 42, 39, 41, 9, 41, 35, 16, 22, 4, 6, 40, 2, 13, 49, 24, 25, 49, 15, 22, 42, 28, 24, 6, 2, 31, 47, 21, 46, 25, 29, 32, 3, 25, 46, 4, 41, 4, 11, 4, 42, 16, 35, 27, 11, 9, 9, 35, 14, 6, 42, 34, 37, 22, 13, 50, 19, 21, 24, 15, 35, 20, 9, 8, 50, 35, 40, 26, 38, 50, 8, 49, 32, 35, 16, 17, 40, 17, 13, 46, 5, 39, 17, 33, 47, 25, 35, 29, 23, 6, 44, 49, 45, 38, 11, 10, 36, 10, 44, 34, 30, 8, 48, 21, 41, 39, 41, 37, 34, 25, 10, 3, 22, 41, 8, 28, 10, 6, 30, 16, 18, 2, 24, 16, 5, 15, 49, 25, 45, 39, 4, 33, 9, 35, 31, 40, 5, 26, 21, 12, 36, 46, 43, 17, 28, 12, 20, 17, 37, 6, 25, 22, 40, 12, 9, 48, 30, 41, 30, 18, 10, 47, 31, 39, 40, 17, 30, 26, 30, 17, 25, 40, 35, 9, 42, 48, 8, 34, 15, 19, 1, 15, 13, 44, 34, 22, 2, 50, 7, 34, 35, 10, 7, 49, 41, 1, 20, 24, 36, 32, 39, 2, 9, 45, 16, 27, 4, 15, 2, 9, 7, 19, 27, 5, 30, 12, 12, 11, 17, 46, 20]"
300,163,6,"[5, 33, 22, 18, 3, 19, 26, 28, 36, 39, 23, 41, 36, 5, 4, 6, 6, 1, 19, 20, 36, 40, 22, 27, 40, 11, 26, 29, 35, 16, 38, 15, 44, 8, 27, 50, 43, 30, 49, 37, 18, 44, 10, 16, 2, 46, 40, 29, 32, 45, 24, 28, 50, 20, 10, 39, 18, 32, 9, 12, 21, 39, 49, 37, 37, 5, 2, 25, 24, 36, 13, 50, 49, 8, 46, 12, 41, 23, 14, 13, 8, 21, 11, 12, 16, 13, 6, 30, 31, 22, 8, 36, 12, 41, 15, 9, 14, 31, 21, 34, 22, 11, 2, 5, 12, 39, 36, 39, 19, 37, 11, 18, 9, 41, 1, 43, 2, 49, 38, 38, 48, 40, 32, 37, 1, 45, 10, 1, 30, 3, 3, 34, 46, 39, 30, 18, 33, 6, 40, 39, 46, 32, 8, 35, 20, 14, 30, 8, 31, 2, 43, 45, 16, 35, 8, 27, 44, 42, 22, 39, 14, 48, 28, 38, 27, 36, 34, 50, 23, 11, 47, 24, 22, 27, 3, 13, 49, 31, 41, 45, 50, 14, 20, 24, 5, 26, 19, 48, 34, 6, 46, 14, 34, 12, 9, 21, 34, 50, 27, 25, 2, 12, 9, 9, 46, 7, 24, 18, 8, 3, 29, 15, 33, 37, 21, 16, 19, 22, 6, 46, 10, 11, 35, 28, 5, 39, 21, 39, 43, 15, 17, 18, 26, 42, 24, 10, 31, 41, 38, 38, 46, 41, 19, 3, 11, 24, 47, 28, 47, 17, 23, 47, 8, 32, 42, 33, 6, 16, 26, 25, 17, 11, 48, 36, 32, 12, 42, 20, 8, 15, 45, 11, 4, 2, 39, 35, 16, 5, 44, 14, 21, 36, 9, 38, 29, 26, 16, 7, 15, 28, 36, 46, 1, 19, 24, 14, 39, 18, 2, 37]"
300,173,19,"[2, 10, 19, 18, 27, 1, 39, 13, 22, 17, 2, 42, 16, 25, 34, 11, 30, 25, 4, 8, 12, 22, 14, 26, 13, 1, 24, 15, 3, 2, 24, 12, 24, 40, 8, 39, 35, 34, 10, 45, 16, 12, 24, 37, 32, 30, 11, 7, 24, 41, 41, 19, 6, 43, 8, 17, 36, 44, 26, 35, 37, 50, 17, 23, 34, 32, 11, 3, 25, 5, 21, 32, 34, 40, 11, 45, 43, 29, 49, 27, 16, 15, 34, 38, 18, 21, 46, 50, 23, 35, 40, 22, 45, 28, 29, 30, 21, 14, 50, 36, 48, 33, 19, 15, 31, 30, 39, 8, 39, 13, 1, 20, 36, 42, 47, 13, 39, 29, 49, 39, 43, 40, 30, 32, 28, 30, 8, 10, 5, 27, 11, 14, 24, 2, 42, 48, 31, 12, 22, 17, 36, 6, 36, 34, 13, 50, 14, 36, 6, 10, 7, 48, 29, 26, 38, 42, 23, 13, 26, 43, 12, 9, 17, 40, 25, 39, 29, 40, 22, 48, 47, 9, 6, 12, 17, 42, 34, 23, 36, 16, 37, 48, 7, 42, 31, 29, 28, 45, 28, 35, 4, 26, 46, 5, 39, 49, 26, 25, 4, 47, 48, 28, 49, 42, 36, 4, 23, 6, 34, 27, 27, 27, 5, 3, 42, 9, 13, 40, 30, 23, 42, 13, 29, 30, 25, 10, 27, 12, 20, 43, 38, 23, 25, 50, 37, 37, 10, 35, 20, 46, 45, 3, 41, 47, 17, 26, 4, 18, 21, 46, 48, 11, 18, 50, 3, 16, 11, 32, 8, 29, 50, 33, 39, 21, 3, 47, 32, 14, 44, 2, 48, 41, 44, 8, 43, 50, 19, 5, 37, 27, 36, 32, 18, 14, 27, 34, 41, 8, 3, 49, 22, 20, 25, 2, 1, 37, 7, 22, 38, 15]"
300,171,14,"[19, 25, 13, 26, 38, 43, 46, 30, 14, 40, 47, 6, 31, 8, 13, 26, 3, 9, 38, 20, 34, 23, 12, 42, 48, 39, 33, 10, 46, 44, 43, 25, 35, 19, 48, 8, 16, 48, 11, 35, 14, 41, 2, 10, 9, 28, 31, 44, 41, 32, 43, 29, 36, 4, 44, 46, 8, 6, 43, 44, 25, 47, 24, 5, 4, 43, 31, 16, 25, 37, 23, 1, 46, 5, 38, 24, 45, 24, 42, 40, 10, 10, 36, 48, 21, 37, 42, 10, 41, 12, 7, 43, 38, 22, 11, 27, 49, 32, 11, 22, 34, 45, 26, 21, 12, 11, 40, 22, 16, 48, 22, 17, 12, 31, 20, 30, 38, 40, 19, 28, 48, 22, 17, 9, 22, 14, 12, 26, 30, 39, 39, 36, 44, 28, 39, 1, 44, 43, 11, 49, 45, 14, 34, 19, 47, 1, 19, 49, 21, 35, 9, 21, 30, 8, 14, 14, 45, 5, 11, 19, 36, 33, 42, 24, 27, 37, 22, 49, 22, 7, 43, 42, 2, 12, 29, 44, 8, 39, 3, 14, 36, 36, 12, 40, 43, 48, 48, 34, 39, 45, 36, 8, 28, 18, 16, 16, 1, 38, 28, 17, 15, 33, 40, 12, 39, 26, 31, 42, 30, 2, 11, 42, 39, 14, 9, 10, 28, 44, 19, 6, 18, 15, 23, 44, 44, 35, 33, 35, 8, 14, 28, 26, 3, 36, 30, 39, 14, 45, 1, 29, 9, 37, 34, 35, 4, 20, 24, 34, 26, 47, 12, 7, 49, 17, 13, 7, 30, 20, 7, 39, 43, 32, 11, 43, 29, 34, 3, 38, 35, 46, 23, 19, 14, 36, 39, 49, 8, 12, 32, 16, 31, 20, 19, 37, 14, 16, 13, 46, 41, 41, 1, 5, 47, 8, 26, 23, 29, 13, 7, 44]"
300,154,10,"[10, 21, 35, 26, 29, 24, 28, 32, 7, 32, 9, 1, 11, 25, 23, 45, 43, 27, 5, 21, 24, 47, 13, 9, 30, 26, 38, 14, 5, 49, 31, 39, 25, 33, 21, 39, 6, 13, 17, 30, 40, 39, 43, 23, 36, 37, 41, 11, 5, 29, 37, 25, 47, 35, 46, 48, 48, 6, 28, 46, 50, 4, 4, 19, 14, 42, 16, 6, 27, 46, 11, 29, 41, 27, 6, 17, 48, 48, 10, 46, 34, 39, 11, 44, 31, 47, 37, 17, 16, 50, 26, 2, 42, 34, 36, 7, 49, 4, 7, 47, 33, 24, 38, 46, 27, 16, 1, 28, 38, 41, 1, 16, 10, 44, 27, 44, 33, 24, 31, 22, 37, 26, 26, 37, 27, 48, 36, 36, 16, 1, 34, 14, 32, 44, 45, 21, 34, 33, 20, 30, 33, 5, 27, 31, 43, 2, 13, 37, 29, 19, 47, 20, 12, 2, 46, 9, 22, 8, 49, 34, 43, 50, 30, 46, 12, 7, 23, 37, 47, 34, 47, 35, 35, 45, 40, 14, 3, 7, 45, 22, 25, 14, 49, 13, 44, 40, 35, 2, 19, 41, 26, 18, 19, 40, 46, 25, 2, 17, 9, 14, 22, 47, 3, 12, 18, 12, 8, 44, 38, 3, 19, 31, 43, 37, 10, 10, 30, 45, 42, 40, 4, 18, 42, 49, 3, 45, 32, 18, 13, 29, 10, 42, 17, 27, 40, 31, 34, 48, 39, 17, 17, 19, 14, 16, 39, 20, 10, 3, 50, 40, 5, 23, 25, 38, 42, 31, 8, 45, 38, 49, 33, 10, 42, 35, 39, 39, 26, 18, 21, 24, 15, 12, 13, 20, 31, 36, 8, 3, 41, 12, 5, 37, 45, 13, 38, 49, 31, 39, 34, 49, 9, 27, 39, 34, 36, 15, 12, 34, 38, 32]"
300,178,18,"[27, 21, 47, 47, 27, 16, 40, 1, 12, 23, 37, 24, 31, 41, 37, 20, 38, 50, 3, 23, 35, 50, 18, 42, 40, 43, 38, 31, 10, 3, 26, 45, 23, 17, 2, 15, 46, 39, 17, 31, 4, 12, 16, 16, 45, 27, 26, 5, 30, 10, 17, 38, 44, 9, 7, 42, 2, 3, 22, 10, 19, 35, 31, 50, 44, 37, 49, 3, 2, 41, 8, 4, 24, 35, 18, 14, 44, 32, 2, 8, 32, 8, 17, 19, 49, 38, 44, 40, 27, 10, 24, 36, 8, 44, 47, 20, 6, 30, 49, 1, 35, 35, 26, 11, 48, 34, 37, 20, 46, 6, 19, 37, 25, 41, 49, 33, 6, 16, 30, 47, 12, 23, 25, 35, 49, 22, 1, 37, 16, 22, 50, 35, 35, 39, 14, 36, 40, 42, 1, 19, 15, 16, 16, 23, 13, 21, 43, 25, 48, 23, 45, 47, 10, 16, 40, 8, 45, 2, 21, 3, 44, 7, 12, 30, 31, 34, 49, 1, 19, 45, 24, 7, 43, 34, 44, 4, 13, 26, 12, 48, 12, 36, 15, 37, 41, 50, 31, 25, 7, 6, 6, 33, 1, 35, 9, 22, 24, 4, 16, 37, 10, 24, 31, 43, 17, 45, 35, 48, 5, 27, 1, 10, 26, 24, 50, 28, 43, 5, 42, 43, 2, 38, 24, 37, 8, 1, 48, 33, 48, 18, 31, 31, 4, 25, 27, 49, 42, 46, 27, 21, 2, 33, 25, 29, 27, 47, 36, 17, 13, 30, 44, 33, 16, 40, 14, 12, 12, 27, 49, 40, 16, 6, 9, 23, 33, 27, 24, 24, 28, 21, 14, 25, 22, 35, 6, 48, 8, 46, 31, 44, 24, 4, 33, 31, 8, 32, 50, 3, 49, 18, 37, 37, 43, 3, 15, 6, 14, 21, 3, 33]"
300,198,16,"[38, 39, 17, 25, 17, 16, 37, 38, 48, 7, 13, 47, 39, 46, 34, 35, 42, 44, 5, 26, 19, 27, 32, 33, 23, 32, 36, 13, 19, 12, 45, 12, 20, 33, 49, 16, 22, 41, 39, 6, 8, 5, 1, 46, 35, 14, 46, 4, 27, 35, 31, 41, 8, 34, 21, 20, 29, 21, 19, 3, 17, 48, 39, 36, 33, 4, 28, 30, 20, 50, 4, 8, 48, 26, 16, 11, 15, 40, 11, 40, 15, 10, 1, 5, 41, 14, 18, 20, 16, 41, 31, 14, 17, 8, 9, 7, 4, 4, 35, 37, 12, 9, 22, 25, 10, 15, 8, 18, 36, 20, 29, 3, 23, 8, 45, 1, 24, 18, 44, 24, 24, 6, 39, 4, 12, 37, 41, 31, 10, 12, 31, 36, 33, 17, 49, 15, 36, 5, 26, 41, 29, 19, 48, 35, 41, 9, 27, 3, 25, 6, 35, 26, 41, 24, 41, 49, 46, 49, 30, 42, 26, 16, 24, 10, 38, 46, 34, 4, 12, 36, 50, 3, 41, 45, 31, 47, 6, 13, 47, 21, 39, 49, 28, 31, 1, 6, 26, 28, 5, 25, 36, 40, 35, 44, 14, 35, 43, 14, 18, 39, 26, 43, 14, 22, 30, 45, 40, 10, 4, 49, 17, 7, 26, 6, 5, 1, 44, 49, 4, 50, 3, 43, 43, 23, 30, 19, 31, 1, 9, 13, 20, 24, 48, 10, 8, 24, 3, 2, 2, 34, 29, 33, 6, 13, 11, 34, 2, 43, 3, 24, 11, 12, 18, 50, 4, 23, 12, 20, 40, 14, 10, 19, 48, 8, 21, 13, 17, 9, 45, 41, 34, 25, 7, 42, 10, 3, 29, 25, 22, 14, 28, 25, 19, 50, 31, 5, 33, 23, 13, 19, 44, 15, 12, 45, 12, 24, 47, 20, 21, 27]"
